sim,success,wind_x,wind_y,wind_z,p0_x,p0_y,p0_z,v0_x,v0_y,v0_z,true_ap,ekf_ap,rmse,rmsex,rmsey,rmsez,target
41,1,0.22846646105204194,4.294343494719225,0.03298136557461939,0.0,0.0,152.3171094204614,4.479545146758454,0.10409609581790846,54.01356029352753,249.8546484480324,249.82542438745833,0.10481504249319465,0.04518848864180063,0.04197780172683261,0.08474702230345785,250.0
42,1,-3.517282700339346,-4.819461849749892,-0.4100646195783151,0.0,0.0,154.12808505056086,-4.536173787223159,-3.5445864662771798,50.37055011075284,249.82674317646206,249.81218188789535,0.1887426977713234,0.13104456538807893,0.06821521881794013,0.11746408713248137,250.0
43,1,0.5206510325885807,2.8322633970126194,-0.17090750305167524,0.0,0.0,153.8038653919782,0.9029148761478698,3.3443030975054917,53.38691286890288,249.8344481433457,249.86699200927788,0.12853577648815376,0.09110619027978085,0.04598644368345962,0.07814316942295715,250.0
44,1,-4.191724926134238,-3.3916208710351903,-0.2957133940076627,0.0,0.0,153.25387257086382,-2.337113852607539,2.7040036912126677,50.42353597408515,249.80017468117947,250.13933231375182,0.29320623757326836,0.22266751098032503,0.04793330608024398,0.1846387702350629,250.0
45,1,-2.9994049914516374,1.9512623852117734,0.49380727911315236,0.0,0.0,150.45257528854725,4.129322522341564,3.6575772738957273,52.67631049790648,249.7738024972516,249.92765366232186,0.13080283432558246,0.012347347264035205,0.05920583666368618,0.11598100442788041,250.0
46,1,-2.0066407978021683,0.07708532904543652,-0.4482399280207945,0.0,0.0,150.16157879057283,-0.27108083904357283,2.168146907791815,51.63348785425873,249.84073279169536,249.8954189538053,0.11919523749500806,0.07546976978341384,0.06090544218859832,0.06929895816057552,250.0
47,1,1.9535878456115015,-2.0607205663214803,0.3827290706310972,0.0,0.0,153.33205984779178,-4.872827930715343,-0.42637230532854264,50.49633363867627,249.97265927015178,249.90834733509962,0.176415040965452,0.08672080715798698,0.04640538342007445,0.14645241095436157,250.0
48,1,-2.861196566491011,1.4578726690625992,-0.4541544917736422,0.0,0.0,151.2433148444726,3.9688260000905995,3.140629822473585,54.92337799168476,249.80696299785785,249.83274814550168,0.15484019832019044,0.021440591040873227,0.1111286731665075,0.10567027052064117,250.0
49,1,2.4476079853455532,3.3150821590351036,0.16930459326487268,0.0,0.0,152.4386789746082,-4.84360418150284,-4.179953917508299,54.26150328450977,249.89136846089096,249.9360729526962,0.24076503668634552,0.15260943816817876,0.17124005068152123,0.07317791548794064,250.0
50,1,-2.8946644791067824,3.940048815670684,-0.30088807465827616,0.0,0.0,151.11197197104104,-4.767754281858146,-2.327961434077239,52.44626742807225,249.91905249200963,250.0473613532464,0.1606973147730467,0.13757395725916566,0.020937322377590283,0.08036579988389206,250.0
51,1,-3.204408785579921,0.9082522693877761,0.1906316657750452,0.0,0.0,153.25273129087793,-0.041955880748868246,-3.441539049244249,53.420735704131985,249.89977708159168,249.99874227434697,0.17455016306964963,0.13810371211175654,0.02990188790166841,0.10247439303801906,250.0
52,1,0.4368982934449157,3.1720750751187055,0.44324341084831564,0.0,0.0,152.68697050843008,-3.181624065073457,-0.5551333746742113,53.055615760767154,249.8202924394492,249.9502607089763,0.11824178425150257,0.025143525932168686,0.05565837984814949,0.1012475550290294,250.0
53,1,2.178305472533811,-3.709478224717,0.08937569267299916,0.0,0.0,154.79107659961528,4.672368958550502,-2.960471273440841,52.6605860347154,249.80237157084127,249.89990841651155,0.20939140821046506,0.10903573227725889,0.13796575665466115,0.11367242809859554,250.0
54,1,-0.06445794105034341,4.795621834504756,0.3671217786888332,0.0,0.0,150.77312585256385,3.963116596277498,2.7453079501547393,50.65310443291792,249.76599192837074,249.77230346581914,0.15494615338515857,0.07960625674316484,0.0958418369583664,0.09211675539577109,250.0
55,1,4.200172376654972,-4.708656688268077,0.406740489726628,0.0,0.0,152.46745845634302,1.2787283508259648,2.0393268876609705,54.325500844740816,249.77109549944745,249.9211965049756,0.21533607659086895,0.17788652683636738,0.042938042184775614,0.11350036997728848,250.0
56,1,-2.8750129395148107,-2.8092379262556246,-0.39097443992161285,0.0,0.0,151.7467521544116,-0.7241606889280412,3.395689708671094,52.630592998662024,249.86637213024832,249.94288406166908,0.09645825428516272,0.01163971316794713,0.046369450973040946,0.08377700110154203,250.0
57,1,-1.4525414159333216,2.2145058555440063,0.40575129771334617,0.0,0.0,151.66617978975412,3.6024317558861103,4.761351441618688,53.80036740237494,249.85137593249658,250.15540591851655,0.14855884135286285,0.051364771226702806,0.015064380611011037,0.1385801358699729,250.0
58,1,-1.1639977033920577,-1.716978990198632,-0.32739511180203507,0.0,0.0,151.5258223475139,0.7378880261818166,3.300679760316207,53.54837797202314,249.95646453049903,250.15921707080102,0.11066739866419613,0.06381808499457953,0.023464608190759705,0.08731516086670674,250.0
59,1,-1.0981716632529848,-2.64571941612888,0.3042354676162917,0.0,0.0,151.5653371302262,0.617807951347686,0.04264885856870215,50.443537763092365,249.85440679012072,250.0017002059031,0.1168952721062271,0.025118669578418594,0.06666241973243113,0.09268052047122027,250.0
60,1,2.959284524023934,-1.3850769081736902,-0.030889496334471467,0.0,0.0,151.77460033471877,-3.8628310639842347,-1.6192002895210198,54.662950313383625,249.8338125571919,249.95407489044965,0.13562601391034337,0.02275790010918703,0.025652390539337357,0.13121908585052033,250.0
61,1,3.621171948788257,-1.6994544769655962,0.11648596576181602,0.0,0.0,151.8853804608138,-0.8211683429329639,-0.7017848892525294,53.113488410824964,249.77163379979254,249.75954095863614,0.25365630092751074,0.2258408303887034,0.03962294564841385,0.10847792636159508,250.0
